app,apktool_d,dex2jar,zip,bcel,dx,apktool_a,jarsigner
com.hipxel.ghost.box.spirit.evp.tts.t1.free,0.42,2.63,0.54,1.50,10.11,1.28,0.59
com.hm,1.17,6.00,2.09,6.85,13.09,3.02,1.87
com.hobbylobbystores.android,1.84,6.04,2.04,0.20,16.54,2.57,1.69
com.homedesign.deversen.app,0.96,4.71,1.10,2.64,13.29,1.73,1.20
com.homefinder.android,0.76,4.73,1.19,2.78,14.94,1.60,1.06
com.homes.homesdotcom,1.41,13.18,4.53,8.18,43.61,9.22,5.61
com.homes.rentals,1.19,7.18,1.91,7.56,16.93,7.37,4.63
com.honeywell.mobile.android.totalComfort,1.29,3.20,0.93,0.20,7.55,2.27,1.34
com.hooters.app,0.96,3.74,0.88,1.39,8.55,1.66,1.19
com.hotornot.app,2.39, 10.64,4.39,13.35,34.95,6.19,3.31
com.hotpads.mobile,0.88,9.48,3.72,3.14,23.08,2.74,1.76
com.houzz.app,1.48,10.07,4.67,9.28,28.07,4.37,2.62
com.howto.Howtodraw3D,0.43,2.80,0.49,0.40,9.82,1.09,0.72
com.howto.Howtodrawanime,0.49,3.24,0.49,0.48,10.44,1.08,0.62
com.howto.Makeuptutorial,0.60,3.36,0.52,0.37,21.25,1.01,0.75
com.howtotrackmyspousecellphone,0.48,1.55,0.18,1.65,3.83,0.72,0.50
com.hungerrush.hungryhowies,0.89,4.53,1.20,4.73,10.19,6.26,3.94
com.hyvee.android,0.98,12.11,4.29,14.79,30.49,2.88,1.81
com.icechen1.sleepytime,1.41,5.49,1.44,2.37,14.99,1.89,1.31
com.icontrol.icontrolweb,0.40, 2.63,0.46,2.26,6.21,0.89,0.52
com.idmobile.horoscope,1.05,8.49,3.22,1.45,22.11,2.80,1.64
com.ikea.catalogue.android,1.81,7.72,2.05,8.64,17.51,11.11,6.92
com.imujerapp.com.imujer,1.02,9.84,4.14,5.88,27.10,2.91,1.77
com.inbox.boro.lite,0.57,3.85,0.88,1.27,11.81,1.21,0.74
com.inditex.zara,1.19,9.20,3.21,9.26,24.09,3.08,1.92
com.inspiration.jctrois,0.76,2.15,0.38,1.62,4.67,1.09,0.72
com.iPhand.SexQuotes,0.37,0.82,0.05,0.49,2.94,0.69,0.37
com.itgc.dreammoods.ui,0.73,3.92,0.90,3.78,15.00,1.70,1.19
com.jamesots.android.contractiontimer,0.58,2.93,0.46,1.42,4.59,1.02,0.55
com.jb.gokeyboard.theme.colorfulgemstonesgokeyboard.getjar,0.68,4.36,0.93,1.82,12.16,1.30,0.84
com.jb.gokeyboard.theme.purpleskygokeyboard.getjar,0.54,3.19,0.59,2.23,23.68,1.20,0.77
com.jcp,0.53,4.12,0.82,1.66,8.50,1.75,1.06
com.jdmdeveloper.white_magic,0.56,6.42,2.33,0.50,15.84,1.74,1.05
com.jerasoftware.funsounds,0.73,9.15,3.50,1.44,23.34,2.36,1.45
com.jmon.mybabyname,0.60,6.25,2.25,2.02,17.66,1.87,1.16
com.jossandmain,0.84,5.53,1.76,0.64,16.70,1.78,1.26
com.justwink,1.25,8.72,3.59,10.73,22.15,3.54,2.10
com.kauf.wrapmyfacefunphotoeditor,1.58,3.79,0.63,3.53,11.59,9.54,6.54
com.kbb.mobile,1.37,4.63,1.24,5.49,31.18,1.78,1.25
com.kbb.mobileplatform,0.45,1.67,0.20,1.19,4.08,0.77,0.45
com.kicksonfire.android,0.79,5.45,1.83,5.03,13.67,1.67,1.07
com.kiwiapplab.versepager,0.59,6.11,2.46,1.27,17.18,1.75,1.10
com.kohls.mcommerce.opal,1.48,13.01,5.28,18.22,56.29,5.01,3.14
com.launcher.jimmyjohns,0.31,1.99,0.27,0.38,4.14,0.81,0.43
com.layar,1.34,5.13,1.70,6.83,11.83,4.08,2.61
com.leebrimelow.rainsounds,0.57,0.50,0.02,0.47,2.70,0.83,0.52
com.lily.times.tweenshusky.all,0.98,5.61,2.54,1.08,14.91,1.96,1.56
com.locationlabs.cni.att,1.09,6.16,3.16,12.64,16.84,2.38,1.39
com.locationlabs.cni.sprint,0.94,5.74,3.05,11.18,15.47,2.03,1.18
com.locationlabs.finder.sprint,1.26,7.09,4.71,9.70,17.30,2.90,1.71
com.lockermaster.scene.frame.lovephoto,0.71,2.25,0.60,2.74,17.74,1.13,0.71
com.lollywollydoodle.lwdapp,1.86,9.96,5.67,10.00,28.22,3.49,2.16
com.madinsweden.sleeptalk,0.79,3.74,1.22,3.64,21.84,1.49,0.94
com.magic.tarot.cards,0.73,1.34,0.18,0.86,3.51,1.02,0.66
com.markwins.wetnwild.stealthelook,1.81,6.12,2.81,4.10,17.71,4.77,2.57
com.marykay.mkcatalog,0.52,0.73,0.03,0.68,2.77,0.63,0.42
com.masarat.salati,1.10,7.28,2.78,6.90,17.87,2.39,1.49
com.mcalisters.mobile,0.37,1.54,0.19,0.80,3.37,0.77,0.42
com.mcc.alarmclocklifetime,1.10,7.15,3.44,2.90,13.87,2.31,1.40
com.mcent.app,1.42,10.32,6.69,6.28,29.64,3.61,2.22
com.mechbracket.getfollowers.instagram,1.21,6.18,2.71,5.60,17.17,2.12,1.30
com.mediaflow.samsunggear,1.24,1.96,0.51,1.08,4.40,1.98,1.47
